# frequency radius F_z
12550.3 0.0134966 2.92213061620306e-12
12550.3 0.0136242 3.09445672996857e-12
12550.3 0.0137517 3.27483796501596e-12
12550.3 0.0138792 3.46352010065031e-12
12550.3 0.0140067 3.66074793721970e-12
12550.3 0.0141342 3.86676457556537e-12
12550.3 0.0142617 4.08181065291510e-12
12550.3 0.0143893 4.30612353584045e-12
12550.3 0.0145168 4.53993647126439e-12
12550.3 0.0146443 4.78347769689888e-12
12550.3 0.0147718 5.03696951291274e-12
12550.3 0.0148993 5.30062731707477e-12
12550.3 0.0150268 5.57465860608453e-12
12550.3 0.0151544 5.85926194628959e-12
12550.3 0.0152819 6.15462591748892e-12
12550.3 0.0154094 6.46092803403435e-12
12550.3 0.0155369 6.77833364795791e-12
12550.3 0.0156644 7.10699483937021e-12
12550.3 0.0157919 7.44704929988230e-12
12550.3 0.0159195 7.79861921529854e-12
12550.3 0.016047 8.16181015429857e-12
12550.3 0.0161745 8.53670997026848e-12
12550.3 0.016302 8.92338772384254e-12
12550.3 0.0164295 9.32189263407103e-12
12550.3 0.016557 9.73225306642690e-12
12550.3 0.0166846 1.01544755660965e-11
12550.3 0.0168121 1.05885439451566e-11
12550.3 0.0169396 1.10344184323169e-11
12550.3 0.0170671 1.14920348938940e-11
12550.3 0.0171946 1.19613041345740e-11
12550.3 0.0173221 1.24421112863115e-11
12550.3 0.0174497 1.29343152933996e-11
12550.3 0.0175772 1.34377485013217e-11
12550.3 0.0177047 1.39522163564688e-11
12550.3 0.0178322 1.44774972231670e-11
12550.3 0.0179597 1.50133423237198e-11
12550.3 0.0180872 1.55594758063278e-11
12550.3 0.0182148 1.61155949448182e-11
12550.3 0.0183423 1.66813704730956e-11
12550.3 0.0184698 1.72564470561397e-11
12550.3 0.0185973 1.78404438982239e-11
12550.3 0.0187248 1.84329554878345e-11
12550.3 0.0188523 1.90335524775443e-11
12550.3 0.0189799 1.96417826958562e-11
12550.3 0.0191074 2.02571722867977e-11
12550.3 0.0192349 2.08792269718359e-11
12550.3 0.0193624 2.15074334275119e-11
12550.3 0.0194899 2.21412607710821e-11
12550.3 0.0196174 2.27801621454144e-11
12550.3 0.019745 2.34235763934510e-11
12550.3 0.0198725 2.40709298117032e-11
12550.3 0.02 2.47216379715361e-11

13825.5 0.001 6.01209344946114e-19
13825.5 0.00112752 1.23581945823437e-18
13825.5 0.00125503 2.35159768331262e-18
13825.5 0.00138255 4.20487931439520e-18
13825.5 0.00151007 7.14339874542938e-18
13825.5 0.00163758 1.16260185376839e-17
13825.5 0.0017651 1.82444787561404e-17
13825.5 0.00189262 2.77471976660014e-17
13825.5 0.00202013 4.10651575756823e-17
13825.5 0.00214765 5.93399122760709e-17
13825.5 0.00227517 8.39537551771024e-17
13825.5 0.00240268 1.16562089842525e-16
13825.5 0.0025302 1.59128047187156e-16
13825.5 0.00265772 2.13959396115211e-16
13825.5 0.00278523 2.83747796812289e-16
13825.5 0.00291275 3.71610448280494e-16
13825.5 0.00304027 4.81134183974350e-16
13825.5 0.00316779 6.16422071559722e-16
13825.5 0.0032953 7.82142574864094e-16
13825.5 0.00342282 9.83581337962515e-16
13825.5 0.00355034 1.22669565307986e-15
13825.5 0.00367785 1.51817167549766e-15
13825.5 0.00380537 1.86548444994879e-15
13825.5 0.00393289 2.27696081403176e-15
13825.5 0.0040604 2.76184524490194e-15
13825.5 0.00418792 3.33036871591482e-15
13825.5 0.00431544 3.99382062992905e-15
13825.5 0.00444295 4.76462389557186e-15
13825.5 0.00457047 5.65641321193412e-15
13825.5 0.00469799 6.68411662571200e-15
13825.5 0.0048255 7.86404042287416e-15
13825.5 0.00495302 9.21395741424251e-15
13825.5 0.00508054 1.07531986710020e-14
13825.5 0.00520805 1.25027487619547e-14
13825.5 0.00533557 1.44853445392390e-14
13825.5 0.00546309 1.67255775131438e-14
13825.5 0.0055906 1.92499998495033e-14
13825.5 0.00571812 2.20872340147393e-14
13825.5 0.00584564 2.52680860840156e-14
13825.5 0.00597315 2.88256627168545e-14
13825.5 0.00610067 3.27954917918775e-14
13825.5 0.00622819 3.72156466780675e-14
13825.5 0.0063557 4.21268741037538e-14
13825.5 0.00648322 4.75727255663661e-14
13825.5 0.00661074 5.35996922057337e-14
13825.5 0.00673826 6.02573430411413e-14
13825.5 0.00686577 6.75984664472590e-14
13825.5 0.00699329 7.56792147163647e-14
13825.5 0.00712081 8.45592515237918e-14
13825.5 0.00724832 9.43019020799022e-14
13825.5 0.00737584 1.04974305715208e-13
13825.5 0.00750336 1.16647570605089e-13
13825.5 0.00763087 1.29396930296887e-13
13825.5 0.00775839 1.43301901654702e-13
13825.5 0.00788591 1.58446443785781e-13
13825.5 0.00801342 1.74919117457053e-13
13825.5 0.00814094 1.92813244450613e-13
13825.5 0.00826846 2.12227066242901e-13
13825.5 0.00839597 2.33263901323883e-13
13825.5 0.00852349 2.56032300399508e-13
13825.5 0.00865101 2.80646198643039e-13
13825.5 0.00877852 3.07225064078844e-13
13825.5 0.00890604 3.35894041095374e-13
13825.5 0.00903356 3.66784087993210e-13
13825.5 0.00916107 4.00032107378625e-13
13825.5 0.00928859 4.35781068114057e-13
13825.5 0.00941611 4.74180117434041e-13
13825.5 0.00954362 5.15384681729308e-13
13825.5 0.00967114 5.59556554393329e-13
13825.5 0.00979866 6.06863969015280e-13
13825.5 0.00992617 6.57481656092219e-13
13825.5 0.0100537 7.11590881321748e-13
13825.5 0.0101812 7.69379463426579e-13
13825.5 0.0103087 8.31041769354392e-13
13825.5 0.0104362 8.96778684592942e-13
13825.5 0.0105638 9.66797556242047e-13
13825.5 0.0106913 1.04131210639398e-12
13825.5 0.0108188 1.12054231329293e-12
13825.5 0.0109463 1.20471425767578e-12
13825.5 0.0110738 1.29405993164240e-12
13825.5 0.0112013 1.38881700736755e-12
13825.5 0.0113289 1.48922856295015e-12
13825.5 0.0114564 1.59554276270339e-12
13825.5 0.0115839 1.70801248922373e-12
13825.5 0.0117114 1.82689492464153e-12
13825.5 0.0118389 1.95245107855474e-12
13825.5 0.0119664 2.08494526028341e-12
13825.5 0.012094 2.22464449325972e-12
13825.5 0.0122215 2.37181786959022e-12
13825.5 0.012349 2.52673584309596e-12
13825.5 0.0124765 2.68966945945699e-12
13825.5 0.012604 2.86088952246104e-12
13825.5 0.0127315 3.04066569578571e-12
13825.5 0.0128591 3.22926554023044e-12
13825.5 0.0129866 3.42695348685893e-12
13825.5 0.0131141 3.63398974711601e-12
13825.5 0.0132416 3.85062916164294e-12
13825.5 0.0133691 4.07711999022995e-12
13825.5 0.0134966 4.31370264611197e-12
13825.5 0.0136242 4.56060837862662e-12
13825.5 0.0137517 4.81805790910773e-12
13825.5 0.0138792 5.08626002577440e-12
13825.5 0.0140067 5.36541014428581e-12
